Date ,Decade,Province,City,Incident,Killed ,Injured,Government,President
06/06/1963,1960,Sindh,Khairpur,Attack,118,12,Democratic,Ayub Khan
2/17/1978,1970,Sindh,Karachi,Attack,0,14,Martial law,Ch. Fazal Ilahi 
2/17/1978,1970,Punjab,Lahore,Attack,0,8,Martial law,Ch. Fazal Ilahi 
2/22/1983,1980,Sindh,Karachi,Attack,2,0,Martial law,Zia-ul-Haq
3/22/1983,1980,Sindh,Karachi,Attack,8,0,Martial law,Zia-ul-Haq
10/08/1984,1980,Sindh,Karachi,Attack,1,0,Martial law,Zia-ul-Haq
07/08/1985,1980,Balochistan,Quetta,Attack,35,0,Martial law,Zia-ul-Haq
9/17/1986,1980,Punjab,Lahore,Attack,4,0,Martial law,Zia-ul-Haq
9/17/1986,1980,Punjab,Layyah,Attack,3,0,Martial law,Zia-ul-Haq
10/01/1986,1980,FATA,Parachinar,Attack,0,13,Martial law,Zia-ul-Haq
5/17/1988,1980,Gilgit-Baltistan,Gilgit,Attack,800,0,Martial law,Zia-ul-Haq
08/05/1988,1980,KPK,Peshawar,Target killing,1,0,Martial law,Zia-ul-Haq
8/20/1989,1980,KPK,D.I. Khan,Attack,10,0,Democratic,Gh Ishaq Khan
12/19/1990,1990,Punjab,Lahore,Target killing,1,0,Democratic,Gh Ishaq Khan
2/25/1995,1990,Sindh,Karachi,Attack,16,0,Democratic,Farooq Leghari
2/25/1995,1990,Sindh,Karachi,Attack,6,0,Democratic,Farooq Leghari
03/07/1995,1990,Punjab,Lahore,Target killing,2,0,Democratic,Farooq Leghari
03/09/1995,1990,Sindh,Karachi,Attack,0,0,Democratic,Farooq Leghari
6/15/1996,1990,Punjab,Lahore,Target killing,1,0,Democratic,Farooq Leghari
07/12/1996,1990,Punjab,Mailsi,Attack,10,0,Democratic,Farooq Leghari
09/10/1996,1990,FATA,Parachinar,Attack,200,0,Democratic,Farooq Leghari
09/12/1996,1990,Punjab,Islamabad,Target killing,1,0,Democratic,Farooq Leghari
2/20/1997,1990,Punjab,Multan,Attack,8,3,Democratic,Farooq Leghari
08/10/1997,1990,Punjab,Lahore,Attack,100,0,Democratic,Farooq Leghari
9/17/1997,1990,Punjab,Rawalpindi,Target killing,5,0,Democratic,Farooq Leghari
01/11/1998,1990,Punjab,Lahore,Attack,25,0,Democratic,M Rafiq Tarar
2/21/1998,1990,Sindh,Karachi,Target killing,2,0,Democratic,M Rafiq Tarar
03/04/1998,1990,KPK,Hangu,Attack,20,0,Democratic,M Rafiq Tarar
3/30/1998,1990,Punjab,Multan,Target killing,3,0,Democratic,M Rafiq Tarar
9/22/1998,1990,Punjab,Multan,Attack,5,0,Democratic,M Rafiq Tarar
01/06/1999,1990,Punjab,D.G. Khan,Attack,17,0,Democratic,M Rafiq Tarar
9/28/1999,1990,KPK,D.I. Khan,Target killing,3,0,Democratic,M Rafiq Tarar
10/01/1999,1990,Sindh,Karachi,Attack,9,0,Democratic,M Rafiq Tarar
10/07/1999,1990,Punjab,Rawalpindi,Target killing,1,0,Democratic,M Rafiq Tarar
1/17/2000,2000,Sindh,Karachi,Attack,9,25,Martial law,M Rafiq Tarar
04/12/2000,2000,Punjab,Attock,Attack,19,39,Martial law,M Rafiq Tarar
5/15/2000,2000,Sindh,Karachi,Target killing,1,0,Martial law,M Rafiq Tarar
11/23/2000,2000,KPK,Peshawar,Target killing,1,0,Martial law,M Rafiq Tarar
12/04/2000,2000,Punjab,Rawalpindi,Target killing,1,0,Martial law,M Rafiq Tarar
03/01/2001,2000,KPK,Hangu,Attack,8,0,Martial law,M Rafiq Tarar
03/04/2001,2000,Punjab,Sheikhupura,Attack,12,0,Martial law,M Rafiq Tarar
5/30/2001,2000,Sindh,Karachi,Target killing,1,0,Martial law,M Rafiq Tarar
7/26/2001,2000,Sindh,Karachi,Target killing,1,0,Martial law,Pervez Musharraf
7/30/2001,2000,Sindh,Karachi,Target killing,0,0,Martial law,Pervez Musharraf
10/04/2001,2000,Sindh,Karachi,Attack,7,6,Martial law,Pervez Musharraf
10/10/2001,2000,Sindh,Karachi,Target killing,1,0,Martial law,Pervez Musharraf
2/26/2002,2000,Punjab,Rawalpindi,Attack,11,22,Martial law,Pervez Musharraf
03/04/2002,2000,Sindh,Karachi,Target killing,1,0,Martial law,Pervez Musharraf
4/25/2002,2000,Punjab,Lahore,Attack,12,25,Martial law,Pervez Musharraf
5/25/2002,2000,Sindh,Karachi,Target killing,1,0,Martial law,Pervez Musharraf
6/17/2002,2000,Punjab,Multan,Attack,3,0,Martial law,Pervez Musharraf
11/01/2002,2000,Punjab,Lahore,Target killing,1,0,Democratic,Pervez Musharraf
2/23/2003,2000,Sindh,Karachi,Attack,9,0,Democratic,Pervez Musharraf
06/08/2003,2000,Balochistan,Quetta,Attack,12,0,Democratic,Pervez Musharraf
07/04/2003,2000,Balochistan,Quetta,Attack,53,60,Democratic,Pervez Musharraf
8/16/2003,2000,Sindh,Karachi,Target killing,2,0,Democratic,Pervez Musharraf
10/03/2003,2000,Sindh,Karachi,Attack,7,8,Democratic,Pervez Musharraf
2/28/2004,2000,Punjab,Rawalpindi,Attack,0,4,Democratic,Pervez Musharraf
03/02/2004,2000,Balochistan,Quetta,Attack,42,160,Democratic,Pervez Musharraf
05/07/2004,2000,Sindh,Karachi,Attack,15,0,Democratic,Pervez Musharraf
5/14/2004,2000,Sindh,Karachi,Attack,7,0,Democratic,Pervez Musharraf
5/31/2004,2000,Sindh,Karachi,Attack,23,35,Democratic,Pervez Musharraf
06/06/2004,2000,Punjab,D.G. Khan,Target killing,1,1,Democratic,Pervez Musharraf
9/21/2004,2000,KPK,D.I. Khan,Target killing,3,0,Democratic,Pervez Musharraf
10/01/2004,2000,Punjab,Sialkot,Attack,30,50,Democratic,Pervez Musharraf
10/10/2004,2000,Punjab,Lahore,Attack,9,0,Democratic,Pervez Musharraf
01/08/2005,2000,Gilgit-Baltistan,Gilgit,Target killing,3,0,Democratic,Pervez Musharraf
3/19/2005,2000,Balochistan,Fatehpur,Attack,43,55,Democratic,Pervez Musharraf
5/27/2005,2000,Punjab,Islamabad,Attack,25,41,Democratic,Pervez Musharraf
5/30/2005,2000,Sindh,Karachi,Attack,6,26,Democratic,Pervez Musharraf
9/23/2005,2000,Gilgit-Baltistan,Gilgit,Target killing,2,0,Democratic,Pervez Musharraf
10/13/2005,2000,Gilgit-Baltistan,Gilgit,Target killing,12,0,Democratic,Pervez Musharraf
02/09/2006,2000,KPK,Hangu,Attack,39,0,Democratic,Pervez Musharraf
4/18/2006,2000,Punjab,Faisalabad,Target killing,2,0,Democratic,Pervez Musharraf
7/14/2006,2000,Sindh,Karachi,Attack,1,0,Democratic,Pervez Musharraf
8/20/2006,2000,FATA,Kurram agency,Attack,60,0,Democratic,Pervez Musharraf
10/06/2006,2000,KPK,Hangu,Attack,14,0,Democratic,Pervez Musharraf
1/27/2007,2000,KPK,Peshawar,Attack,12,0,Democratic,Pervez Musharraf
1/29/2007,2000,KPK,D.I. Khan,Attack,3,0,Democratic,Pervez Musharraf
1/30/2007,2000,KPK,Hangu,Attack,2,0,Democratic,Pervez Musharraf
03/09/2007,2000,KPK,D.I. Khan,Target killing,1,0,Democratic,Pervez Musharraf
04/08/2007,2000,FATA,Pewer,Attack,4,0,Democratic,Pervez Musharraf
04/10/2007,2000,FATA,Kurram agency,Attack,60,0,Democratic,Pervez Musharraf
04/11/2007,2000,FATA,"Sadda, Kurram",Attack,27,30,Democratic,Pervez Musharraf
04/12/2007,2000,FATA,Chardiwar,Attack,5,6,Democratic,Pervez Musharraf
4/25/2007,2000,KPK,D.I. Khan,Attack,3,0,Democratic,Pervez Musharraf
5/14/2007,2000,KPK,Tank,Target killing,2,0,Democratic,Pervez Musharraf
8/14/2007,2000,FATA,Kurram agency,Attack,15,0,Democratic,Pervez Musharraf
11/07/2007,2000,FATA,Darra Adam Khel,Target killing,1,0,Democratic,Pervez Musharraf
11/16/2007,2000,KPK,Parachinar,Attack,45,100,Democratic,Pervez Musharraf
11/17/2007,2000,FATA,Parachinar,Attack,46,80,Democratic,Pervez Musharraf
11/19/2007,2000,FATA,Parachinar,Attack,12,50,Democratic,Pervez Musharraf
11/20/2007,2000,FATA,Parachinar,Attack,28,27,Democratic,Pervez Musharraf
11/23/2007,2000,FATA,Parachinar,Attack,50,0,Democratic,Pervez Musharraf
12/26/2007,2000,FATA,Parachinar,Attack,32,40,Democratic,Pervez Musharraf
12/26/2007,2000,FATA,"Sadda, Kurram",Attack,25,26,Democratic,Pervez Musharraf
12/27/2007,2000,FATA,Parachinar,Attack,27,42,Democratic,Pervez Musharraf
12/29/2007,2000,FATA,Parachinar,Attack,13,9,Democratic,Pervez Musharraf
12/31/2007,2000,FATA,Parachinar,Attack,11,15,Democratic,Pervez Musharraf
01/02/2008,2000,FATA,Parachinar,Attack,12,13,Democratic,Pervez Musharraf
01/03/2008,2000,FATA,Parachinar,Attack,6,11,Democratic,Pervez Musharraf
1/17/2008,2000,KPK,Peshawar,Attack,10,25,Democratic,Pervez Musharraf
2/16/2008,2000,FATA,Kurram agency,Attack,58,93,Democratic,Pervez Musharraf
3/27/2008,2000,KPK,Kohat,Attack,50,0,Democratic,Pervez Musharraf
4/16/2008,2000,FATA,Kurram agency,Attack,4,0,Democratic,Pervez Musharraf
05/10/2008,2000,KPK,D.I. Khan,Attack,3,0,Democratic,Pervez Musharraf
5/26/2008,2000,KPK,D.I. Khan,Attack,5,2,Democratic,Pervez Musharraf
6/16/2008,2000,KPK,D.I. Khan,Attack,4,0,Democratic,Pervez Musharraf
6/17/2008,2000,KPK,Hangu,Attack,4,0,Democratic,Pervez Musharraf
6/19/2008,2000,FATA,Kurram agency,Attack,7,10,Democratic,Pervez Musharraf
6/23/2008,2000,FATA,Kurram agency,Attack,11,0,Democratic,Pervez Musharraf
08/09/2008,2000,FATA,Kurram agency,Attack,16,25,Democratic,Pervez Musharraf
08/10/2008,2000,FATA,Kurram agency,Attack,10,24,Democratic,Pervez Musharraf
8/16/2008,2000,FATA,Kurram agency,Attack,36,39,Democratic,Pervez Musharraf
